"target","model","seed","train_size","rmse","mae","r2","best_params","file"
"TYK2","svm","2137","0.016756","0.966270","0.741349","0.359161","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-2137_size-0.016756.txt"
"TYK2","svm","2137","0.08378","0.815400","0.632000","0.543655","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-2137_size-0.08378.txt"
"TYK2","svm","42","0.001676","1.183649","1.011324","0.071947","{'C': 1, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.001676.txt"
"TYK2","svm","42","0.003351","1.209336","0.983694","0.031230","{'C': 1, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.003351.txt"
"TYK2","svm","42","0.008378","1.002869","0.778160","0.333784","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.008378.txt"
"TYK2","svm","42","0.016756","1.062364","0.786334","0.252393","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.016756.txt"
"TYK2","svm","42","0.08378","0.795706","0.609393","0.580596","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.08378.txt"
"TYK2","xgboost","123","0.001676","1.252733","1.013349","-0.054842","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-123_size-0.001676.txt"
"TYK2","xgboost","123","0.003351","1.123101","0.900932","0.152172","{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}","regression_xgboost_seed-123_size-0.003351.txt"
"TYK2","xgboost","123","0.008378","1.128709","0.917857","0.143684","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-123_size-0.008378.txt"
"TYK2","xgboost","123","0.016756","1.049044","0.830051","0.260297","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-123_size-0.016756.txt"
"TYK2","xgboost","123","0.08378","0.853579","0.650762","0.510269","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-123_size-0.08378.txt"
"TYK2","xgboost","2137","0.001676","1.402074","1.165807","-0.349255","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-2137_size-0.001676.txt"
"TYK2","xgboost","2137","0.003351","1.184406","0.954473","0.037162","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-2137_size-0.003351.txt"
"TYK2","xgboost","2137","0.008378","1.136052","0.897783","0.114174","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-2137_size-0.008378.txt"
"TYK2","xgboost","2137","0.016756","1.056718","0.824691","0.233574","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-2137_size-0.016756.txt"
"TYK2","xgboost","2137","0.08378","0.859258","0.667923","0.493243","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-2137_size-0.08378.txt"
"TYK2","xgboost","42","0.001676","1.206600","1.008905","0.035608","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-42_size-0.001676.txt"
"TYK2","xgboost","42","0.003351","1.233913","1.022536","-0.008546","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-42_size-0.003351.txt"
"TYK2","xgboost","42","0.008378","1.132571","0.904527","0.150315","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-42_size-0.008378.txt"
"TYK2","xgboost","42","0.016756","1.062568","0.845481","0.252105","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-42_size-0.016756.txt"
"TYK2","xgboost","42","0.08378","0.849044","0.661105","0.522484","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-42_size-0.08378.txt"
