"target","model","seed","train_size","accuracy","precision","recall","f1","roc_auc","best_params","file"
"TYK2","svm","123","0.08378","0.847162","0.873219","0.835150","0.853760","0.915531","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-123_size-0.08378.txt"
"TYK2","svm","2137","0.001676","0.655832","0.575529","0.828261","0.679144","0.258603","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.001676.txt"
"TYK2","svm","2137","0.003351","0.470363","0.452333","0.969565","0.616874","0.337320","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.003351.txt"
"TYK2","svm","2137","0.008378","0.672084","0.579592","0.926087","0.712971","0.721127","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.008378.txt"
"TYK2","svm","2137","0.016756","0.721797","0.632238","0.878261","0.735214","0.782358","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.016756.txt"
"TYK2","svm","2137","0.08378","0.833652","0.783730","0.858696","0.819502","0.910269","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.08378.txt"
"TYK2","svm","42","0.001676","0.638238","0.698113","0.620805","0.657194","0.700067","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.001676.txt"
"TYK2","svm","42","0.003351","0.604499","0.588595","0.969799","0.732573","0.393645","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.003351.txt"
"TYK2","svm","42","0.008378","0.739456","0.738024","0.827181","0.780063","0.814859","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.008378.txt"
"TYK2","svm","42","0.016756","0.716026","0.694040","0.879195","0.775722","0.765697","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.016756.txt"
"TYK2","svm","42","0.08378","0.835989","0.853782","0.852349","0.853065","0.910028","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.08378.txt"
"TYK2","xgboost","123","0.001676","0.635371","0.636898","0.738420","0.683912","0.627804","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-123_size-0.001676.txt"
