target,model,seed,size,rmse,mae,r2,best_params,file
A2a,svm,2137,100,1.0698,0.8422,0.2235,"{'C': 10, 'kernel': 'rbf'}",svm_seed-2137_size-0.0275.txt
A2a,svm,2137,500,1.0321,0.8242,0.2752,"{'C': 10, 'kernel': 'rbf'}",svm_seed-2137_size-0.1376.txt
A2a,xgboost,42,10,1.2227,1.0071,-0.0243,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-42_size-0.0029.txt
A2a,xgboost,42,20,1.2648,1.0195,-0.0961,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-42_size-0.0057.txt
A2a,xgboost,42,50,1.1876,0.9857,0.0336,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-42_size-0.0143.txt
A2a,xgboost,42,100,1.1092,0.8895,0.157,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-42_size-0.0286.txt
A2a,xgboost,42,500,1.0785,0.8581,0.203,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-42_size-0.1428.txt
A2a,xgboost,123,10,1.2074,0.9894,-0.0893,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0029.txt
A2a,xgboost,123,20,1.2621,1.0243,-0.1902,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0057.txt
A2a,xgboost,123,50,1.2057,0.9725,-0.0862,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0143.txt
A2a,xgboost,123,100,1.1558,0.9426,0.0019,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0286.txt
A2a,xgboost,123,500,1.0132,0.8161,0.233,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-123_size-0.1428.txt
A2a,xgboost,2137,10,1.3476,1.0873,-0.1817,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-2137_size-0.0028.txt
A2a,xgboost,2137,20,1.5297,1.2328,-0.5227,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-2137_size-0.0055.txt
A2a,xgboost,2137,50,1.2234,0.9974,0.026,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-2137_size-0.0138.txt
A2a,xgboost,2137,100,1.2367,0.9758,0.0047,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-2137_size-0.0275.txt
A2a,xgboost,2137,500,1.0831,0.8731,0.2366,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-2137_size-0.1376.txt
BACE1,mlp,42,10,1.654,1.3313,-0.9652,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.001796.txt
BACE1,mlp,42,20,1.4966,1.0247,-0.6089,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.003592.txt
BACE1,mlp,42,50,1.7631,1.1664,-1.2329,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.00898.txt
BACE1,mlp,42,100,1.4122,1.0307,-0.4325,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.01796.txt
BACE1,mlp,42,500,1.1532,0.8486,0.0447,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.089799.txt
BACE1,mlp,123,10,2.0001,1.5257,-1.7495,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.001796.txt
BACE1,mlp,123,20,1.8216,1.3903,-1.2806,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.003592.txt
BACE1,mlp,123,50,1.6372,1.2105,-0.8424,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.00898.txt
BACE1,mlp,123,100,1.4386,1.1863,-0.4225,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.01796.txt
BACE1,mlp,123,500,1.1129,0.8582,0.1487,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.089799.txt
