target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,svm,123,10,0.6378,0.0,0.0,0.0,0.5504,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.0029.txt
A2a,svm,123,20,0.6407,1.0,0.0082,0.0162,0.3358,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.0057.txt
A2a,svm,123,50,0.6711,0.6923,0.1656,0.2673,0.7585,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.0143.txt
A2a,svm,123,100,0.7074,0.6992,0.3374,0.4552,0.7935,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.0286.txt
A2a,svm,123,500,0.7637,0.7335,0.546,0.626,0.8179,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.1428.txt
A2a,svm,2137,10,0.671,0.0,0.0,0.0,0.4628,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.0028.txt
A2a,svm,2137,20,0.671,0.0,0.0,0.0,0.428,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.0055.txt
A2a,svm,2137,50,0.7521,0.8452,0.3018,0.4448,0.7842,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.0138.txt
A2a,svm,2137,100,0.7544,0.7371,0.394,0.5135,0.8196,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.0275.txt
A2a,svm,2137,500,0.8188,0.7671,0.6452,0.7009,0.8717,"{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.1376.txt
A2a,xgboost,42,10,0.6664,0.0,0.0,0.0,0.5617,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-42_size-0.0029.txt
A2a,xgboost,42,20,0.5967,0.4384,0.7435,0.5515,0.7049,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-42_size-0.0057.txt
A2a,xgboost,42,50,0.6997,0.5607,0.4608,0.5059,0.7273,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-42_size-0.0143.txt
A2a,xgboost,42,100,0.7116,0.5789,0.4964,0.5345,0.7523,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-42_size-0.0286.txt
A2a,xgboost,42,500,0.8074,0.7171,0.6983,0.7076,0.8443,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-42_size-0.1428.txt
A2a,xgboost,123,10,0.6378,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-123_size-0.0029.txt
A2a,xgboost,123,20,0.5993,0.4458,0.4376,0.4417,0.6416,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-123_size-0.0057.txt
A2a,xgboost,123,50,0.6822,0.5652,0.5317,0.5479,0.7178,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-123_size-0.0143.txt
A2a,xgboost,123,100,0.7267,0.6523,0.5256,0.5821,0.768,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_fingerprint_seed-123_size-0.0286.txt
A2a,xgboost,123,500,0.7748,0.7229,0.6135,0.6637,0.8321,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",xgboost_fingerprint_seed-123_size-0.1428.txt
A2a,xgboost,2137,10,0.671,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-2137_size-0.0028.txt
A2a,xgboost,2137,20,0.6717,0.5385,0.0161,0.0313,0.4102,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-2137_size-0.0055.txt
A2a,xgboost,2137,50,0.6437,0.4647,0.5461,0.5021,0.7141,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-2137_size-0.0138.txt
A2a,xgboost,2137,100,0.7453,0.6317,0.5415,0.5831,0.7689,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-2137_size-0.0275.txt
A2a,xgboost,2137,500,0.8097,0.7259,0.6774,0.7008,0.8595,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-2137_size-0.1376.txt
BACE1,mlp,42,10,0.5513,0.3703,0.5286,0.4355,0.5493,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.001796.txt
BACE1,mlp,42,20,0.64,0.4621,0.6061,0.5244,0.6806,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.003592.txt
BACE1,mlp,42,50,0.7128,0.6591,0.2548,0.3675,0.6712,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.00898.txt
BACE1,mlp,42,100,0.7291,0.6204,0.4451,0.5183,0.7127,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.01796.txt
BACE1,mlp,42,500,0.7459,0.6299,0.5432,0.5833,0.7691,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.089799.txt
BACE1,mlp,123,10,0.635,0.4049,0.2314,0.2944,0.5182,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.001796.txt
BACE1,mlp,123,20,0.479,0.345,0.6485,0.4504,0.5612,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.003592.txt
BACE1,mlp,123,50,0.6658,0.4931,0.5436,0.5171,0.6692,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.00898.txt
BACE1,mlp,123,100,0.6808,0.5172,0.4551,0.4842,0.658,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.01796.txt
BACE1,mlp,123,500,0.7245,0.583,0.5727,0.5778,0.7634,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.089799.txt
BACE1,mlp,2137,10,0.6463,0.4704,0.4355,0.4523,0.598,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",classification_mlp_seed-2137_size-0.001796.txt
BACE1,mlp,2137,20,0.5987,0.438,0.6952,0.5374,0.6578,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-2137_size-0.003592.txt
BACE1,mlp,2137,50,0.6896,0.5424,0.4742,0.506,0.6513,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",classification_mlp_seed-2137_size-0.00898.txt
BACE1,mlp,2137,100,0.729,0.6212,0.4919,0.5491,0.7442,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.01796.txt
BACE1,mlp,2137,500,0.7496,0.6236,0.6387,0.6311,0.7962,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-2137_size-0.089799.txt
BACE1,randomforest,42,10,0.6774,0.8125,0.019,0.0372,0.6082,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-42_size-0.001796.txt
BACE1,randomforest,42,20,0.674,0.5484,0.0249,0.0476,0.7185,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-42_size-0.003592.txt
BACE1,randomforest,42,50,0.6937,0.7895,0.0878,0.1581,0.7473,"{'max_depth': 10, 'n_estimators': 500}",classification_randomforest_seed-42_size-0.00898.txt
BACE1,randomforest,42,100,0.7263,0.6514,0.3529,0.4577,0.7377,"{'max_depth': 10, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.01796.txt
