target,model,seed,size,rmse,mae,r2,best_params,file
A2a,svm_gnn_small,123,20,1.1568,0.9457,0.069,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.0057.txt
A2a,svm_gnn_small,123,50,1.0534,0.8522,0.1867,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.0143.txt
A2a,svm_gnn_small,123,100,1.0288,0.8167,0.2145,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.0286.txt
A2a,svm_gnn_small,123,500,1.0157,0.7956,0.2987,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.1428.txt
A2a,svm_gnn_small,2137,10,1.2353,0.9983,0.0069,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0028.txt
A2a,svm_gnn_small,2137,20,1.1257,0.9235,0.0868,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0055.txt
A2a,svm_gnn_small,2137,50,1.0398,0.8457,0.1923,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0138.txt
A2a,svm_gnn_small,2137,100,1.0177,0.8087,0.2234,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0275.txt
A2a,svm_gnn_small,2137,500,1.0088,0.7823,0.3098,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.1376.txt
A2a,xgboost_gnn_small,42,10,1.2744,1.036,-0.1129,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-42_size-0.0029.txt
A2a,xgboost_gnn_small,42,20,1.3867,1.1232,-0.3176,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100}",xgboost_gnn_small_seed-42_size-0.0057.txt
A2a,xgboost_gnn_small,42,50,1.1826,0.9482,0.0418,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_small_seed-42_size-0.0143.txt
A2a,xgboost_gnn_small,42,100,1.1066,0.8927,0.1609,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_small_seed-42_size-0.0286.txt
A2a,xgboost_gnn_small,42,500,1.0299,0.8172,0.2731,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_small_seed-42_size-0.1428.txt
A2a,xgboost_gnn_small,123,10,1.1613,0.9537,-0.0078,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-123_size-0.0029.txt
A2a,xgboost_gnn_small,123,20,1.2747,1.0211,-0.2142,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-123_size-0.0057.txt
A2a,xgboost_gnn_small,123,50,1.2022,0.9675,-0.08,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-123_size-0.0143.txt
A2a,xgboost_gnn_small,123,100,1.1407,0.9176,0.0277,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-123_size-0.0286.txt
A2a,xgboost_gnn_small,123,500,1.0181,0.8166,0.2256,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_small_seed-123_size-0.1428.txt
A2a,xgboost_gnn_small,2137,10,1.3685,1.1204,-0.2187,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.0028.txt
A2a,xgboost_gnn_small,2137,20,1.3467,1.0928,-0.1803,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.0055.txt
A2a,xgboost_gnn_small,2137,50,1.2239,0.9959,0.0253,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.0138.txt
A2a,xgboost_gnn_small,2137,100,1.2005,0.9729,0.0622,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.0275.txt
A2a,xgboost_gnn_small,2137,500,1.0644,0.8482,0.2628,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.1376.txt
BACE1,mlp,42,10,1.7506,1.2239,-1.2016,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.001796.txt
BACE1,mlp,42,20,1.634,1.215,-0.9179,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.003592.txt
BACE1,mlp,42,50,1.5959,1.0733,-0.8295,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.00898.txt
BACE1,mlp,42,100,1.656,1.2284,-0.97,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.01796.txt
BACE1,mlp,42,500,1.3473,0.9385,-0.304,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-42_size-0.089799.txt
BACE1,mlp,123,10,2.1218,1.785,-2.0944,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.001796.txt
BACE1,mlp,123,20,1.9841,1.3653,-1.7058,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.003592.txt
BACE1,mlp,123,50,1.6147,1.2097,-0.7921,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.00898.txt
BACE1,mlp,123,100,1.5039,1.2031,-0.5546,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.01796.txt
BACE1,mlp,123,500,1.102,0.8669,0.1653,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.089799.txt
BACE1,mlp,2137,10,1.7721,1.1776,-1.2161,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.001796.txt
BACE1,mlp,2137,20,2.1356,1.4639,-2.2186,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.003592.txt
BACE1,mlp,2137,50,1.6638,1.1356,-0.9536,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.00898.txt
BACE1,mlp,2137,100,1.5389,1.0617,-0.6713,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.01796.txt
BACE1,mlp,2137,500,1.4353,1.062,-0.4538,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.089799.txt
BACE1,randomforest,42,10,1.1581,0.9513,0.0365,"{'max_depth': None, 'n_estimators': 500}",regression_randomforest_seed-42_size-0.001796.txt
BACE1,randomforest,42,20,1.112,0.8857,0.1117,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-42_size-0.003592.txt
BACE1,randomforest,42,50,1.0262,0.8133,0.2435,"{'max_depth': 5, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.00898.txt
BACE1,randomforest,42,100,1.0088,0.7907,0.269,"{'max_depth': None, 'n_estimators': 500}",regression_randomforest_seed-42_size-0.01796.txt
BACE1,randomforest,42,500,0.9226,0.7167,0.3886,"{'max_depth': 20, 'n_estimators': 100}",regression_randomforest_seed-42_size-0.089799.txt
BACE1,randomforest,123,10,1.1686,0.9383,0.0615,"{'max_depth': None, 'n_estimators': 500}",regression_randomforest_seed-123_size-0.001796.txt
BACE1,randomforest,123,20,1.1369,0.8847,0.1116,"{'max_depth': 5, 'n_estimators': 500}",regression_randomforest_seed-123_size-0.003592.txt
