target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,svm,123,10,0.6378,0.0,0.0,0.0,0.4707,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.0029.txt
A2a,svm,123,20,0.6378,0.0,0.0,0.0,0.482,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.0057.txt
A2a,svm,123,50,0.6378,0.0,0.0,0.0,0.3405,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.0143.txt
A2a,svm,123,100,0.6378,0.0,0.0,0.0,0.688,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.0286.txt
A2a,svm,123,500,0.6652,0.7126,0.1268,0.2153,0.7017,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.1428.txt
A2a,svm,2137,10,0.671,0.0,0.0,0.0,0.4287,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0028.txt
A2a,svm,2137,20,0.671,0.0,0.0,0.0,0.5683,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0055.txt
A2a,svm,2137,50,0.6687,0.4789,0.0783,0.1347,0.6281,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0138.txt
A2a,svm,2137,100,0.671,0.0,0.0,0.0,0.7014,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0275.txt
A2a,svm,2137,500,0.7415,0.9266,0.2327,0.372,0.8324,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.1376.txt
A2a,xgboost,42,10,0.6664,0.0,0.0,0.0,0.5438,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-42_size-0.0029.txt
A2a,xgboost,42,20,0.5721,0.3753,0.4252,0.3987,0.5627,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-42_size-0.0057.txt
A2a,xgboost,42,50,0.6601,0.4877,0.3777,0.4257,0.6581,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-42_size-0.0143.txt
A2a,xgboost,42,100,0.6577,0.4874,0.5036,0.4953,0.6784,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_small_seed-42_size-0.0286.txt
