target,model,seed,size,rmse,mae,r2,best_params,file
A2a,svm,2137,100,1.1276,0.9023,0.1725,"{'C': 1, 'kernel': 'rbf'}",svm_seed-2137_size-0.0275.txt
A2a,svm,2137,500,0.9725,0.7677,0.3846,"{'C': 1, 'kernel': 'rbf'}",svm_seed-2137_size-0.1376.txt
A2a,xgboost,42,10,1.2681,1.0359,-0.1018,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-42_size-0.0029.txt
A2a,xgboost,42,20,1.1792,0.9452,0.0471,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100}",xgboost_seed-42_size-0.0057.txt
A2a,xgboost,42,50,1.0722,0.8561,0.2122,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-42_size-0.0143.txt
A2a,xgboost,42,100,1.0426,0.823,0.2552,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-42_size-0.0286.txt
A2a,xgboost,42,500,0.8998,0.7038,0.4453,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}",xgboost_seed-42_size-0.1428.txt
A2a,xgboost,123,10,1.1436,0.9406,0.0227,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0029.txt
A2a,xgboost,123,20,1.082,0.8704,0.1252,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0057.txt
A2a,xgboost,123,50,1.1052,0.8752,0.0873,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0143.txt
A2a,xgboost,123,100,1.0333,0.8135,0.2022,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-123_size-0.0286.txt
A2a,xgboost,123,500,0.9221,0.7046,0.3647,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-123_size-0.1428.txt
A2a,xgboost,2137,10,1.4026,1.1382,-0.2802,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-2137_size-0.0028.txt
A2a,xgboost,2137,20,1.511,1.2133,-0.4857,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-2137_size-0.0055.txt
A2a,xgboost,2137,50,1.2173,0.9683,0.0357,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-2137_size-0.0138.txt
A2a,xgboost,2137,100,1.2137,0.9674,0.0414,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-2137_size-0.0275.txt
A2a,xgboost,2137,500,1.0558,0.8476,0.2746,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-2137_size-0.1376.txt
BACE1,mlp,42,10,2.2219,1.9576,-2.5465,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.001796.txt
BACE1,mlp,42,20,1.5705,1.2941,-0.7718,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.003592.txt
BACE1,mlp,42,50,1.1952,0.9256,-0.0262,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.00898.txt
BACE1,mlp,42,100,1.1921,0.9198,-0.0209,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.01796.txt
BACE1,mlp,42,500,1.0649,0.8101,0.1854,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",regression_mlp_seed-42_size-0.089799.txt
BACE1,mlp,123,10,2.804,2.5031,-4.4039,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}",regression_mlp_seed-123_size-0.001796.txt
BACE1,mlp,123,20,1.5453,1.2497,-0.6412,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.003592.txt
BACE1,mlp,123,50,1.0931,0.847,0.1788,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",regression_mlp_seed-123_size-0.00898.txt
BACE1,mlp,123,100,1.1505,0.9154,0.0903,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}",regression_mlp_seed-123_size-0.01796.txt
BACE1,mlp,123,500,1.0191,0.7786,0.2861,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",regression_mlp_seed-123_size-0.089799.txt
BACE1,mlp,2137,10,2.2883,1.9923,-2.6954,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.001796.txt
BACE1,mlp,2137,20,1.4697,1.2049,-0.5243,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.003592.txt
BACE1,mlp,2137,50,1.1922,0.939,-0.0031,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.00898.txt
BACE1,mlp,2137,100,1.1262,0.8657,0.105,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.01796.txt
BACE1,mlp,2137,500,1.1477,0.8747,0.0705,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}",regression_mlp_seed-2137_size-0.089799.txt
BACE1,randomforest,42,10,1.1705,0.969,0.0158,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-42_size-0.001796.txt
BACE1,randomforest,42,20,1.0556,0.8349,0.1995,"{'max_depth': None, 'n_estimators': 500}",regression_randomforest_seed-42_size-0.003592.txt
BACE1,randomforest,42,50,1.0832,0.8615,0.1571,"{'max_depth': 10, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.00898.txt
BACE1,randomforest,42,100,0.9933,0.7728,0.2912,"{'max_depth': 5, 'n_estimators': 500}",regression_randomforest_seed-42_size-0.01796.txt
BACE1,randomforest,42,500,0.8968,0.6857,0.4222,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-42_size-0.089799.txt
BACE1,randomforest,123,10,1.2244,1.0202,-0.0304,"{'max_depth': 5, 'n_estimators': 500}",regression_randomforest_seed-123_size-0.001796.txt
BACE1,randomforest,123,20,1.2232,0.9898,-0.0284,"{'max_depth': None, 'n_estimators': 500}",regression_randomforest_seed-123_size-0.003592.txt
BACE1,randomforest,123,50,1.1346,0.9019,0.1153,"{'max_depth': 10, 'n_estimators': 100}",regression_randomforest_seed-123_size-0.00898.txt
