"target","model","seed","train_size","rmse","mae","r2","best_params","file"
"TYK2","svm","2137","0.016756","0.948578","0.714041","0.382413","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-2137_size-0.016756.txt"
"TYK2","svm","2137","0.08378","0.778342","0.590582","0.584191","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-2137_size-0.08378.txt"
"TYK2","svm","42","0.001676","1.184445","1.010089","0.070699","{'C': 1, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.001676.txt"
"TYK2","svm","42","0.003351","1.116734","0.899873","0.173912","{'C': 0.1, 'kernel': 'linear'}","regression_svm_seed-42_size-0.003351.txt"
"TYK2","svm","42","0.008378","1.009367","0.803339","0.325122","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.008378.txt"
"TYK2","svm","42","0.016756","0.951977","0.761934","0.399684","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.016756.txt"
"TYK2","svm","42","0.08378","0.829372","0.636567","0.544356","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.08378.txt"
"TYK2","xgboost","123","0.001676","1.396533","1.137182","-0.310909","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-123_size-0.001676.txt"
"TYK2","xgboost","123","0.003351","1.147202","0.919878","0.115394","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-123_size-0.003351.txt"
"TYK2","xgboost","123","0.008378","1.091374","0.884091","0.199397","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-123_size-0.008378.txt"
"TYK2","xgboost","123","0.016756","1.056704","0.818026","0.249455","{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}","regression_xgboost_seed-123_size-0.016756.txt"
"TYK2","xgboost","123","0.08378","0.807874","0.610550","0.561310","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-123_size-0.08378.txt"
"TYK2","xgboost","2137","0.001676","1.398965","1.172829","-0.343278","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-2137_size-0.001676.txt"
"TYK2","xgboost","2137","0.003351","1.045502","0.842260","0.249757","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-2137_size-0.003351.txt"
"TYK2","xgboost","2137","0.008378","1.129051","0.880317","0.125058","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-2137_size-0.008378.txt"
"TYK2","xgboost","2137","0.016756","0.964075","0.730388","0.362069","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-2137_size-0.016756.txt"
"TYK2","xgboost","2137","0.08378","0.801958","0.618396","0.558577","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-2137_size-0.08378.txt"
"TYK2","xgboost","42","0.001676","1.185260","1.001634","0.069419","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-42_size-0.001676.txt"
"TYK2","xgboost","42","0.003351","1.090443","0.839688","0.212351","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}","regression_xgboost_seed-42_size-0.003351.txt"
"TYK2","xgboost","42","0.008378","1.058363","0.815620","0.258013","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-42_size-0.008378.txt"
"TYK2","xgboost","42","0.016756","1.001446","0.794378","0.335673","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-42_size-0.016756.txt"
"TYK2","xgboost","42","0.08378","0.876909","0.648569","0.490627","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}","regression_xgboost_seed-42_size-0.08378.txt"
