"target","model","seed","train_size","accuracy","precision","recall","f1","roc_auc","best_params","file"
"TYK2","svm","123","0.08378","0.853712","0.944908","0.771117","0.849212","0.924997","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-123_size-0.08378.txt"
"TYK2","svm","2137","0.001676","0.439771","0.439771","1.000000","0.610890","0.418892","{'C': 0.1, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.001676.txt"
"TYK2","svm","2137","0.003351","0.439771","0.439771","1.000000","0.610890","0.194868","{'C': 0.1, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.003351.txt"
"TYK2","svm","2137","0.008378","0.697897","0.620000","0.808696","0.701887","0.804233","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.008378.txt"
"TYK2","svm","2137","0.016756","0.743786","0.684615","0.773913","0.726531","0.861984","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.016756.txt"
"TYK2","svm","2137","0.08378","0.846080","0.824295","0.826087","0.825190","0.911380","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.08378.txt"
"TYK2","svm","42","0.001676","0.642924","0.786667","0.494966","0.607621","0.724043","{'C': 0.1, 'kernel': 'linear'}","classification_svm_seed-42_size-0.001676.txt"
"TYK2","svm","42","0.003351","0.624180","0.608213","0.919463","0.732131","0.744243","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.003351.txt"
"TYK2","svm","42","0.008378","0.716026","0.804574","0.649329","0.718663","0.809083","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.008378.txt"
"TYK2","svm","42","0.016756","0.784442","0.903084","0.687919","0.780952","0.862625","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.016756.txt"
"TYK2","svm","42","0.08378","0.824742","0.861947","0.817114","0.838932","0.890868","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.08378.txt"
"TYK2","xgboost","123","0.001676","0.688501","0.739812","0.643052","0.688047","0.711385","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-123_size-0.001676.txt"
"TYK2","xgboost","123","0.003351","0.762737","0.735566","0.867847","0.796250","0.833810","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","classification_xgboost_seed-123_size-0.003351.txt"
"TYK2","xgboost","123","0.008378","0.665211","0.730640","0.591281","0.653614","0.739045","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","classification_xgboost_seed-123_size-0.008378.txt"
"TYK2","xgboost","123","0.016756","0.775109","0.823440","0.737057","0.777858","0.830467","{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}","classification_xgboost_seed-123_size-0.016756.txt"
"TYK2","xgboost","123","0.08378","0.846434","0.865734","0.843324","0.854382","0.924459","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}","classification_xgboost_seed-123_size-0.08378.txt"
"TYK2","xgboost","2137","0.001676","0.439771","0.439771","1.000000","0.610890","0.523468","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-2137_size-0.001676.txt"
"TYK2","xgboost","2137","0.003351","0.662524","0.598891","0.704348","0.647353","0.743328","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-2137_size-0.003351.txt"
"TYK2","xgboost","2137","0.008378","0.636711","0.575188","0.665217","0.616935","0.672524","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-2137_size-0.008378.txt"
"TYK2","xgboost","2137","0.016756","0.745698","0.696356","0.747826","0.721174","0.855340","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}","classification_xgboost_seed-2137_size-0.016756.txt"
"TYK2","xgboost","2137","0.08378","0.833652","0.795455","0.836957","0.815678","0.903532","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","classification_xgboost_seed-2137_size-0.08378.txt"
"TYK2","xgboost","42","0.001676","0.666354","0.872671","0.471477","0.612200","0.692214","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-42_size-0.001676.txt"
"TYK2","xgboost","42","0.003351","0.569822","0.588387","0.765101","0.665208","0.581207","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-42_size-0.003351.txt"
"TYK2","xgboost","42","0.008378","0.705717","0.725962","0.760067","0.742623","0.760037","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-42_size-0.008378.txt"
"TYK2","xgboost","42","0.016756","0.767573","0.873391","0.682886","0.766478","0.851763","{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}","classification_xgboost_seed-42_size-0.016756.txt"
"TYK2","xgboost","42","0.08378","0.820056","0.869963","0.796980","0.831874","0.882664","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","classification_xgboost_seed-42_size-0.08378.txt"
