target,model,seed,train_size,requested_size,features,accuracy,precision,recall,f1,roc_auc,best_params,file,status
A2a,xgboost,123,0.0057,20,gnn_filtered,"0,6074","0,4149","0,2045","0,274","0,5825","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-123_size-0.0057.txt,ok
A2a,randomforest,123,0.0057,20,gnn_filtered,"0,6319","0,4765","0,1656","0,2458","0,5562","{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-123_size-0.0057.txt,ok
A2a,svm,123,0.0057,20,gnn_filtered,"0,6378","0,0","0,0","0,0","0,4083","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-0.0057.txt,ok
A2a,mlp,123,0.0143,50,gnn_filtered,"0,6022","0,4498","0,4397","0,4447","0,636","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-123_size-0.0143.txt,ok
A2a,xgboost,123,0.0143,50,gnn_filtered,"0,6","0,4313","0,3272","0,3721","0,5919","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-123_size-0.0143.txt,ok
A2a,randomforest,123,0.0143,50,gnn_filtered,"0,6185","0,4476","0,227","0,3012","0,5661","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-123_size-0.0143.txt,ok
A2a,svm,123,0.0143,50,gnn_filtered,"0,6378","0,0","0,0","0,0","0,5925","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-0.0143.txt,ok
A2a,mlp,123,0.0286,100,gnn_filtered,"0,6319","0,4921","0,5112","0,5015","0,6504","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-123_size-0.0286.txt,ok
A2a,xgboost,123,0.0286,100,gnn_filtered,"0,6126","0,4506","0,317","0,3721","0,6162","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_filtered_seed-123_size-0.0286.txt,ok
A2a,randomforest,123,0.0286,100,gnn_filtered,"0,6496","0,5354","0,2474","0,3385","0,6403","{'max_depth': 10, 'n_estimators': 300}",randomforest_gnn_filtered_seed-123_size-0.0286.txt,ok
A2a,svm,123,0.0286,100,gnn_filtered,"0,6415","0,8571","0,0123","0,0242","0,6039","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-0.0286.txt,ok
