seed,subset,model,learning_rate,max_depth,n_estimators,Accuracy,Precision,Recall,F1,ROC_AUC,C,kernel,hidden_layer_sizes,learning_rate_init
42,full,xgboost,0.1,9.0,500.0,0.8130393096836049,0.7389885807504079,0.6632503660322109,0.6990740740740741,0.8746881029878455,,,,
42,full,randomforest,,,500.0,0.8039309683604986,0.7509157509157509,0.6002928257686676,0.6672091131000814,0.8708143707950647,,,,
42,full,svm,,,,0.8029721955896453,0.7118380062305296,0.6691068814055637,0.689811320754717,0.8673471091543012,0.1,linear,,
42,full,linear,,,,0.8015340364333653,0.7085271317829457,0.6691068814055637,0.6882530120481928,0.8633945874193449,1.0,,,
42,full,mlp,,,,0.7938638542665388,0.6868537666174298,0.6808199121522694,0.6838235294117647,0.8548414869204143,,,"(128,)",0.0001
42,0.8,xgboost,0.05,9.0,500.0,0.8111217641418984,0.7521815008726004,0.6310395314787701,0.6863057324840764,0.8728529849757213,,,,
42,0.8,randomforest,,,300.0,0.8063279002876318,0.7617260787992496,0.5944363103953147,0.6677631578947368,0.8649917714498007,,,,
42,0.8,svm,,,,0.8048897411313519,0.7204472843450479,0.6603221083455344,0.6890756302521008,0.8637013970272862,0.1,linear,,
42,0.8,linear,,,,0.8130393096836049,0.7359098228663447,0.6691068814055637,0.700920245398773,0.8647167907297582,0.1,,,
42,0.8,mlp,,,,0.7938638542665388,0.6868537666174298,0.6808199121522694,0.6838235294117647,0.8601511715639673,,,"(256,)",0.001
42,0.6,xgboost,0.05,7.0,300.0,0.8111217641418984,0.747008547008547,0.6398243045387995,0.6892744479495269,0.861125344247685,,,,
42,0.6,randomforest,,,500.0,0.800575263662512,0.7495327102803738,0.5871156661786238,0.6584564860426929,0.8594952877592359,,,,
42,0.6,svm,,,,0.8039309683604986,0.7260726072607261,0.6442166910688141,0.682699767261443,0.8628947173438218,10.0,rbf,,
42,0.6,linear,,,,0.8029721955896453,0.7229508196721312,0.6456808199121523,0.6821345707656613,0.8570079384377128,0.1,,,
42,0.6,mlp,,,,0.7905081495685522,0.6835820895522388,0.6705710102489019,0.6770140428677014,0.8516241603174123,,,"(256, 128)",0.001
42,0.4,xgboost,0.05,9.0,500.0,0.8034515819750719,0.7325383304940375,0.6295754026354319,0.6771653543307087,0.8474217035446945,,,,
42,0.4,randomforest,,50.0,100.0,0.7972195589645255,0.7249134948096886,0.6134699853587116,0.6645519429024583,0.8447752097836784,,,,
42,0.4,svm,,,,0.7919463087248322,0.6930232558139535,0.6544655929721815,0.6731927710843374,0.8343979487586212,0.1,linear,,
42,0.4,linear,,,,0.7924256951102588,0.6888217522658611,0.6676427525622255,0.6780669144981413,0.8313048069969288,1.0,,,
42,0.4,mlp,,,,0.7823585810162992,0.6786271450858035,0.636896046852123,0.6570996978851964,0.8330767890183032,,,"(256, 128)",0.0001
42,0.2,xgboost,0.05,9.0,500.0,0.7766059443911792,0.6900175131348512,0.5768667642752562,0.6283891547049442,0.8217477920665714,,,,
42,0.2,randomforest,,,100.0,0.7809204218600192,0.7084870848708487,0.5622254758418741,0.626938775510204,0.8269750346726165,,,,
42,0.2,svm,,,,0.7790028763183126,0.6819672131147541,0.6090775988286969,0.6434648105181748,0.8324537776715655,10.0,rbf,,
42,0.2,linear,,,,0.7708533077660594,0.6716917922948074,0.5871156661786238,0.6265625,0.8072473855960195,1.0,,,
42,0.2,mlp,,,,0.7569511025886865,0.6517241379310345,0.5534407027818448,0.5985748218527316,0.794660886679767,,,"(128, 64)",0.01
123,full,xgboost,0.1,7.0,500.0,0.8102372034956304,0.7534039334341907,0.629582806573957,0.6859504132231405,0.8742847574920084,,,,
123,full,randomforest,,50.0,500.0,0.7965043695380774,0.7274096385542169,0.6106194690265486,0.6639175257731958,0.8654410818984042,,,,
