target,model,seed,train_size,accuracy,precision,recall,f1,roc_auc,best_params,file
BACE1,xgboost,123,0.089799,0.7145235122763213,0.57847533632287,0.4892541087231353,0.5301369863013699,0.7626186973175269,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-123_size-0.089799.txt
BACE1,randomforest,123,0.089799,0.7145235122763213,0.6258992805755396,0.3299620733249052,0.43211920529801323,0.7570187092382354,"{'max_depth': 10, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.089799.txt
BACE1,svm,123,0.089799,0.7049521431543904,0.5525641025641026,0.5448798988621998,0.5486950986632718,0.7431016742321339,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.089799.txt
BACE1,linear,123,0.089799,0.6450270495214315,0.4646118721461187,0.5145385587863464,0.48830233953209357,0.6665111223347021,{},classification_linear_seed-123_size-0.089799.txt
BACE1,mlp,123,0.089799,0.6508531002913025,0.4798994974874372,0.7243994943109987,0.5773299748110832,0.7076446248584416,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.089799.txt
BACE1,xgboost,123,0.01796,0.6695796920516022,0.49653579676674364,0.2718078381795196,0.35130718954248363,0.629652997587625,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",classification_xgboost_seed-123_size-0.01796.txt
BACE1,randomforest,123,0.01796,0.6803995006242197,0.5485232067510548,0.16434892541087232,0.2529182879377432,0.6884754198128449,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.01796.txt
BACE1,svm,123,0.01796,0.6612567623803579,0.4837799717912553,0.4336283185840708,0.4573333333333333,0.6430681080267149,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.01796.txt
BACE1,linear,123,0.01796,0.6487723678734915,0.46208869814020026,0.4083438685208597,0.43355704697986575,0.6165123771461196,{},classification_linear_seed-123_size-0.01796.txt
BACE1,mlp,123,0.01796,0.3291718684977112,0.3291718684977112,1.0,0.49530369442705074,0.6160335881646187,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.01796.txt
BACE1,xgboost,123,0.00898,0.6500208073241781,0.4599358974358974,0.36283185840707965,0.4056537102473498,0.6438570707054864,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",classification_xgboost_seed-123_size-0.00898.txt
BACE1,randomforest,123,0.00898,0.6720765709529755,0.5030181086519114,0.31605562579013907,0.38819875776397517,0.6832930486584496,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-123_size-0.00898.txt
BACE1,svm,123,0.00898,0.6021639617145235,0.4052812858783008,0.44627054361567636,0.42478941034897716,0.5879183619691756,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.00898.txt
BACE1,linear,123,0.00898,0.6183936745734498,0.4222222222222222,0.43236409608091025,0.42723297938788257,0.5767662254958859,{},classification_linear_seed-123_size-0.00898.txt
BACE1,mlp,123,0.00898,0.3291718684977112,0.3291718684977112,1.0,0.49530369442705074,0.6094383777797994,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.00898.txt
BACE1,xgboost,123,0.003592,0.6242197253433208,0.4232876712328767,0.3906447534766119,0.40631163708086787,0.5983309439632591,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-123_size-0.003592.txt
BACE1,randomforest,123,0.003592,0.6146483562213899,0.41199478487614083,0.3994943109987358,0.4056482670089859,0.619105915494725,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.003592.txt
BACE1,svm,123,0.003592,0.6163129421556388,0.4073550212164074,0.3640960809102402,0.38451268357810414,0.5894123718131711,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.003592.txt
