"timestamp","feature","model","task","seed","size","status","seconds","output_file"
"2026-06-02 09:34:46","filtered_gnn","randomforest","classification","123","20","ok","1.4","results/downstream_classification_filtered_gnn/TYK2/classification_randomforest_seed-123_size-0.003351.txt"
"2026-06-02 09:35:42","filtered_gnn","randomforest","classification","123","50","ok","1.4","results/downstream_classification_filtered_gnn/TYK2/classification_randomforest_seed-123_size-0.008378.txt"
"2026-06-02 09:37:02","filtered_gnn","randomforest","classification","123","100","ok","3.4","results/downstream_classification_filtered_gnn/TYK2/classification_randomforest_seed-123_size-0.016756.txt"
"2026-06-02 09:38:04","filtered_gnn","randomforest","classification","123","500","ok","6.2","results/downstream_classification_filtered_gnn/TYK2/classification_randomforest_seed-123_size-0.08378.txt"
"2026-06-02 14:04:24","filtered_gnn","randomforest","classification","2137","10","ok","4.0","results/downstream_classification_filtered_gnn/TYK2/classification_randomforest_seed-2137_size-0.001676.txt"
"2026-06-02 14:04:50","filtered_gnn","randomforest","classification","2137","20","ok","1.3","results/downstream_classification_filtered_gnn/TYK2/classification_randomforest_seed-2137_size-0.003351.txt"
"2026-06-02 14:05:37","filtered_gnn","randomforest","classification","2137","50","ok","3.5","results/downstream_classification_filtered_gnn/TYK2/classification_randomforest_seed-2137_size-0.008378.txt"
"2026-06-02 14:06:36","filtered_gnn","randomforest","classification","2137","100","ok","1.5","results/downstream_classification_filtered_gnn/TYK2/classification_randomforest_seed-2137_size-0.016756.txt"
"2026-06-02 14:07:25","filtered_gnn","randomforest","classification","2137","500","ok","2.6","results/downstream_classification_filtered_gnn/TYK2/classification_randomforest_seed-2137_size-0.08378.txt"
"2026-06-02 03:39:25","filtered_gnn","randomforest","regression","42","10","ok","36.9","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-42_size-0.001676.txt"
"2026-06-02 03:40:37","filtered_gnn","randomforest","regression","42","20","ok","36.7","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-42_size-0.003351.txt"
"2026-06-02 03:41:31","filtered_gnn","randomforest","regression","42","50","ok","38.8","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-42_size-0.008378.txt"
"2026-06-02 09:06:07","filtered_gnn","randomforest","regression","42","100","ok","45.1","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-42_size-0.016756.txt"
"2026-06-02 09:07:51","filtered_gnn","randomforest","regression","42","500","ok","79.2","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-42_size-0.08378.txt"
"2026-06-02 09:34:26","filtered_gnn","randomforest","regression","123","10","ok","41.0","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-123_size-0.001676.txt"
"2026-06-02 09:35:00","filtered_gnn","randomforest","regression","123","20","ok","14.1","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-123_size-0.003351.txt"
"2026-06-02 09:36:25","filtered_gnn","randomforest","regression","123","50","ok","43.4","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-123_size-0.008378.txt"
"2026-06-02 09:37:19","filtered_gnn","randomforest","regression","123","100","ok","16.4","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-123_size-0.016756.txt"
"2026-06-02 09:39:32","filtered_gnn","randomforest","regression","123","500","ok","88.5","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-123_size-0.08378.txt"
"2026-06-02 14:04:38","filtered_gnn","randomforest","regression","2137","10","ok","13.6","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-2137_size-0.001676.txt"
"2026-06-02 14:05:03","filtered_gnn","randomforest","regression","2137","20","ok","13.0","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-2137_size-0.003351.txt"
"2026-06-02 14:06:18","filtered_gnn","randomforest","regression","2137","50","ok","40.5","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-2137_size-0.008378.txt"
"2026-06-02 14:06:52","filtered_gnn","randomforest","regression","2137","100","ok","15.8","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-2137_size-0.016756.txt"
"2026-06-02 14:08:45","filtered_gnn","randomforest","regression","2137","500","ok","80.2","results/downstream_regression_filtered_gnn/TYK2/regression_randomforest_seed-2137_size-0.08378.txt"
"2026-06-02 03:39:27","filtered_gnn","svm","classification","42","10","ok","1.1","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-42_size-0.001676.txt"
"2026-06-02 03:40:39","filtered_gnn","svm","classification","42","20","ok","0.8","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-42_size-0.003351.txt"
"2026-06-02 09:04:50","filtered_gnn","svm","classification","42","50","ok","6.3","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-42_size-0.008378.txt"
"2026-06-02 09:06:15","filtered_gnn","svm","classification","42","100","ok","1.2","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-42_size-0.016756.txt"
"2026-06-02 09:08:24","filtered_gnn","svm","classification","42","500","ok","2.2","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-42_size-0.08378.txt"
"2026-06-02 09:34:30","filtered_gnn","svm","classification","123","10","ok","1.5","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-123_size-0.001676.txt"
"2026-06-02 09:35:10","filtered_gnn","svm","classification","123","20","ok","6.0","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-123_size-0.003351.txt"
"2026-06-02 09:36:29","filtered_gnn","svm","classification","123","50","ok","1.4","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-123_size-0.008378.txt"
"2026-06-02 09:37:26","filtered_gnn","svm","classification","123","100","ok","1.3","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-123_size-0.016756.txt"
"2026-06-02 09:40:03","filtered_gnn","svm","classification","123","500","ok","2.5","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-123_size-0.08378.txt"
"2026-06-02 14:04:41","filtered_gnn","svm","classification","2137","10","ok","1.0","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-2137_size-0.001676.txt"
"2026-06-02 14:05:05","filtered_gnn","svm","classification","2137","20","ok","1.3","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-2137_size-0.003351.txt"
"2026-06-02 14:06:21","filtered_gnn","svm","classification","2137","50","ok","1.4","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-2137_size-0.008378.txt"
"2026-06-02 14:06:59","filtered_gnn","svm","classification","2137","100","ok","1.3","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-2137_size-0.016756.txt"
