feature,model,task,seed,size,split,metric,value,file
filtered_gnn,mlp,classification,123,10,validation,Accuracy,0.615559,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,10,validation,Precision,0.651391,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,10,validation,Recall,0.573487,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,10,validation,F1,0.609962,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,10,validation,ROC_AUC,0.656079,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,10,test,Accuracy,0.631732,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,10,test,Precision,0.680952,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,10,test,Recall,0.584469,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,10,test,F1,0.629032,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,10,test,ROC_AUC,0.67139,filtered_gnn_mlp_classification_seed-123_size-10.txt
filtered_gnn,mlp,classification,123,100,validation,Accuracy,0.639728,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,100,validation,Precision,0.628402,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,100,validation,Recall,0.76513,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,100,validation,F1,0.690058,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,100,validation,ROC_AUC,0.719167,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,100,test,Accuracy,0.644105,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,100,test,Precision,0.641292,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,100,test,Recall,0.757493,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,100,test,F1,0.694566,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,100,test,ROC_AUC,0.714888,filtered_gnn_mlp_classification_seed-123_size-100.txt
filtered_gnn,mlp,classification,123,20,validation,Accuracy,0.589124,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,20,validation,Precision,0.577801,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,20,validation,Recall,0.802594,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,20,validation,F1,0.671894,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,20,validation,ROC_AUC,0.682117,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,20,test,Accuracy,0.636099,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,20,test,Precision,0.621118,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,20,test,Recall,0.817439,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,20,test,F1,0.705882,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,20,test,ROC_AUC,0.711327,filtered_gnn_mlp_classification_seed-123_size-20.txt
filtered_gnn,mlp,classification,123,50,validation,Accuracy,0.620846,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,50,validation,Precision,0.610599,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,50,validation,Recall,0.763689,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,50,validation,F1,0.678617,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,50,validation,ROC_AUC,0.686024,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,50,test,Accuracy,0.618632,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,50,test,Precision,0.634271,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,50,test,Recall,0.675749,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,50,test,F1,0.654354,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,50,test,ROC_AUC,0.663179,filtered_gnn_mlp_classification_seed-123_size-50.txt
filtered_gnn,mlp,classification,123,500,validation,Accuracy,0.712236,filtered_gnn_mlp_classification_seed-123_size-500.txt
filtered_gnn,mlp,classification,123,500,validation,Precision,0.69587,filtered_gnn_mlp_classification_seed-123_size-500.txt
filtered_gnn,mlp,classification,123,500,validation,Recall,0.801153,filtered_gnn_mlp_classification_seed-123_size-500.txt
filtered_gnn,mlp,classification,123,500,validation,F1,0.744809,filtered_gnn_mlp_classification_seed-123_size-500.txt
filtered_gnn,mlp,classification,123,500,validation,ROC_AUC,0.794122,filtered_gnn_mlp_classification_seed-123_size-500.txt
filtered_gnn,mlp,classification,123,500,test,Accuracy,0.695051,filtered_gnn_mlp_classification_seed-123_size-500.txt
filtered_gnn,mlp,classification,123,500,test,Precision,0.682927,filtered_gnn_mlp_classification_seed-123_size-500.txt
