target,model,seed,train_size,requested_size,features,accuracy,precision,recall,f1,roc_auc,best_params,file,status
A2a,randomforest,123,full,full,fingerprint,"0,9178","0,9004","0,8691","0,8845","0,9664","{'max_depth': None, 'n_estimators': 100}",randomforest_fingerprint_seed-123_size-full.txt,ok
A2a,randomforest,2137,0.0028,10,fingerprint,"0,671","0,0","0,0","0,0","0,5174","{'max_depth': None, 'n_estimators': 100}",randomforest_fingerprint_seed-2137_size-0.0028.txt,ok
A2a,randomforest,2137,0.0055,20,fingerprint,"0,6763","1,0","0,0161","0,0317","0,5066","{'max_depth': None, 'n_estimators': 100}",randomforest_fingerprint_seed-2137_size-0.0055.txt,ok
A2a,randomforest,2137,0.0138,50,fingerprint,"0,7695","0,7731","0,424","0,5476","0,7874","{'max_depth': None, 'n_estimators': 100}",randomforest_fingerprint_seed-2137_size-0.0138.txt,ok
A2a,randomforest,2137,0.0275,100,fingerprint,"0,7703","0,7365","0,47","0,5738","0,8223","{'max_depth': 10, 'n_estimators': 100}",randomforest_fingerprint_seed-2137_size-0.0275.txt,ok
A2a,randomforest,2137,0.1376,500,fingerprint,"0,8226","0,7762","0,6475","0,706","0,8664","{'max_depth': None, 'n_estimators': 100}",randomforest_fingerprint_seed-2137_size-0.1376.txt,ok
A2a,randomforest,2137,full,full,fingerprint,"0,8408","0,7745","0,7281","0,7506","0,9049","{'max_depth': None, 'n_estimators': 300}",randomforest_fingerprint_seed-2137_size-full.txt,ok
A2a,svm,42,0.0029,10,fingerprint,"0,641","0,4487","0,3325","0,382","0,3756","{'C': 0.1, 'kernel': 'linear'}",svm_fingerprint_seed-42_size-0.0029.txt,ok
A2a,svm,42,0.0057,20,fingerprint,"0,6086","0,4395","0,6295","0,5176","0,6499","{'C': 0.1, 'kernel': 'linear'}",svm_fingerprint_seed-42_size-0.0057.txt,ok
A2a,svm,42,0.0143,50,fingerprint,"0,7163","0,5873","0,5036","0,5422","0,7047","{'C': 0.1, 'kernel': 'linear'}",svm_fingerprint_seed-42_size-0.0143.txt,ok
A2a,svm,42,0.0286,100,fingerprint,"0,7559","0,6323","0,6413","0,6368","0,7817","{'C': 0.1, 'kernel': 'linear'}",svm_fingerprint_seed-42_size-0.0286.txt,ok
A2a,svm,42,0.1428,500,fingerprint,"0,8122","0,7201","0,715","0,7175","0,8392","{'C': 0.1, 'kernel': 'linear'}",svm_fingerprint_seed-42_size-0.1428.txt,ok
A2a,svm,42,full,full,fingerprint,"0,8185","0,7376","0,7078","0,7224","0,8753","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-42_size-full.txt,ok
A2a,svm,123,0.0029,10,fingerprint,"0,6378","0,0","0,0","0,0","0,5504","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.0029.txt,ok
A2a,svm,123,0.0057,20,fingerprint,"0,6407","1,0","0,0082","0,0162","0,3358","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.0057.txt,ok
A2a,svm,123,0.0143,50,fingerprint,"0,6711","0,6923","0,1656","0,2673","0,7585","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.0143.txt,ok
A2a,svm,123,0.0286,100,fingerprint,"0,7074","0,6992","0,3374","0,4552","0,7935","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.0286.txt,ok
A2a,svm,123,0.1428,500,fingerprint,"0,7637","0,7335","0,546","0,626","0,8179","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-0.1428.txt,ok
A2a,svm,123,full,full,fingerprint,"0,8726","0,8255","0,8221","0,8238","0,9408","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-123_size-full.txt,ok
A2a,svm,2137,0.0028,10,fingerprint,"0,671","0,0","0,0","0,0","0,4628","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.0028.txt,ok
A2a,svm,2137,0.0055,20,fingerprint,"0,671","0,0","0,0","0,0","0,428","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.0055.txt,ok
A2a,svm,2137,0.0138,50,fingerprint,"0,7521","0,8452","0,3018","0,4448","0,7842","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.0138.txt,ok
A2a,svm,2137,0.0275,100,fingerprint,"0,7544","0,7371","0,394","0,5135","0,8196","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.0275.txt,ok
A2a,svm,2137,0.1376,500,fingerprint,"0,8188","0,7671","0,6452","0,7009","0,8717","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-0.1376.txt,ok
A2a,svm,2137,full,full,fingerprint,"0,8484","0,7985","0,7212","0,7579","0,9019","{'C': 1, 'kernel': 'rbf'}",svm_fingerprint_seed-2137_size-full.txt,ok
A2a,xgboost,42,0.0029,10,fingerprint,"0,6664","0,0","0,0","0,0","0,5617","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-42_size-0.0029.txt,ok
A2a,xgboost,42,0.0057,20,fingerprint,"0,5967","0,4384","0,7435","0,5515","0,7049","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-42_size-0.0057.txt,ok
A2a,xgboost,42,0.0143,50,fingerprint,"0,6997","0,5607","0,4608","0,5059","0,7273","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-42_size-0.0143.txt,ok
A2a,xgboost,42,0.0286,100,fingerprint,"0,7116","0,5789","0,4964","0,5345","0,7523","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-42_size-0.0286.txt,ok
A2a,xgboost,42,0.1428,500,fingerprint,"0,8074","0,7171","0,6983","0,7076","0,8443","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-42_size-0.1428.txt,ok
A2a,xgboost,42,full,full,fingerprint,"0,809","0,7195","0,7007","0,71","0,8744","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_fingerprint_seed-42_size-full.txt,ok
A2a,xgboost,123,0.0029,10,fingerprint,"0,6378","0,0","0,0","0,0","0,5","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-123_size-0.0029.txt,ok
A2a,xgboost,123,0.0057,20,fingerprint,"0,5993","0,4458","0,4376","0,4417","0,6416","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-123_size-0.0057.txt,ok
A2a,xgboost,123,0.0143,50,fingerprint,"0,6822","0,5652","0,5317","0,5479","0,7178","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-123_size-0.0143.txt,ok
A2a,xgboost,123,0.0286,100,fingerprint,"0,7267","0,6523","0,5256","0,5821","0,768","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_fingerprint_seed-123_size-0.0286.txt,ok
A2a,xgboost,123,0.1428,500,fingerprint,"0,7748","0,7229","0,6135","0,6637","0,8321","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",xgboost_fingerprint_seed-123_size-0.1428.txt,ok
A2a,xgboost,123,full,full,fingerprint,"0,8948","0,8684","0,8364","0,8521","0,9487","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_fingerprint_seed-123_size-full.txt,ok
A2a,xgboost,2137,0.0028,10,fingerprint,"0,671","0,0","0,0","0,0","0,5","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-2137_size-0.0028.txt,ok
A2a,xgboost,2137,0.0055,20,fingerprint,"0,6717","0,5385","0,0161","0,0313","0,4102","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-2137_size-0.0055.txt,ok
A2a,xgboost,2137,0.0138,50,fingerprint,"0,6437","0,4647","0,5461","0,5021","0,7141","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-2137_size-0.0138.txt,ok
A2a,xgboost,2137,0.0275,100,fingerprint,"0,7453","0,6317","0,5415","0,5831","0,7689","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_fingerprint_seed-2137_size-0.0275.txt,ok
A2a,xgboost,2137,0.1376,500,fingerprint,"0,8097","0,7259","0,6774","0,7008","0,8595","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_fingerprint_seed-2137_size-0.1376.txt,ok
A2a,xgboost,2137,full,full,fingerprint,"0,8522","0,7698","0,7857","0,7777","0,9066","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_fingerprint_seed-2137_size-full.txt,ok
