model,learning_rate,max_depth,n_estimators,Accuracy,Precision,Recall,F1,ROC_AUC,C,kernel,hidden_layer_sizes,learning_rate_init
xgboost,0.05,7.0,500.0,0.7746417716022579,0.7142857142857143,0.5907960199004975,0.6466984343090538,0.8460229705375724,,,,
randomforest,,,500.0,0.77594442032132,0.7315112540192926,0.5659203980099502,0.638148667601683,0.8516627171016166,,,,
svm,,,,0.7933130699088146,0.7258953168044077,0.6554726368159204,0.6888888888888889,0.8665694210734188,10.0,rbf,,
linear,,,,0.7811550151975684,0.6953125,0.664179104477612,0.6793893129770993,0.853691847633082,1.0,,,
mlp,,,,0.7833260963960053,0.7286356821589205,0.6044776119402985,0.6607749830047587,0.8599646862419059,,,"(256, 128)",0.0001
