"target","model","seed","train_size","rmse","mae","r2","best_params","file"
"TYK2","svm","2137","0.016756","1.036341","0.819865","0.262847","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-2137_size-0.016756.txt"
"TYK2","svm","2137","0.08378","0.945756","0.738557","0.386081","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-2137_size-0.08378.txt"
"TYK2","svm","42","0.001676","1.155780","0.953028","0.115135","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.001676.txt"
"TYK2","svm","42","0.003351","1.118901","0.894229","0.170703","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.003351.txt"
"TYK2","svm","42","0.008378","1.053718","0.841099","0.264511","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.008378.txt"
"TYK2","svm","42","0.016756","1.080818","0.847202","0.226194","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.016756.txt"
"TYK2","svm","42","0.08378","0.952190","0.749413","0.399415","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-42_size-0.08378.txt"
"TYK2","xgboost","123","0.001676","1.284191","1.047838","-0.108484","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-123_size-0.001676.txt"
"TYK2","xgboost","123","0.003351","1.149681","0.942157","0.111567","{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100}","regression_xgboost_seed-123_size-0.003351.txt"
"TYK2","xgboost","123","0.008378","1.165474","0.945692","0.086991","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-123_size-0.008378.txt"
"TYK2","xgboost","123","0.016756","1.205319","0.973579","0.023496","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-123_size-0.016756.txt"
"TYK2","xgboost","123","0.08378","0.919105","0.723447","0.432193","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-123_size-0.08378.txt"
"TYK2","xgboost","2137","0.001676","1.444957","1.207624","-0.433054","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-2137_size-0.001676.txt"
"TYK2","xgboost","2137","0.003351","1.369899","1.142622","-0.288040","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-2137_size-0.003351.txt"
"TYK2","xgboost","2137","0.008378","1.217682","1.009105","-0.017701","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-2137_size-0.008378.txt"
"TYK2","xgboost","2137","0.016756","1.130893","0.911709","0.122200","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-2137_size-0.016756.txt"
"TYK2","xgboost","2137","0.08378","0.947573","0.751146","0.383721","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-2137_size-0.08378.txt"
"TYK2","xgboost","42","0.001676","1.243280","1.032997","-0.023917","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-42_size-0.001676.txt"
"TYK2","xgboost","42","0.003351","1.246596","1.008892","-0.029387","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-42_size-0.003351.txt"
"TYK2","xgboost","42","0.008378","1.135676","0.915171","0.145651","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-42_size-0.008378.txt"
"TYK2","xgboost","42","0.016756","1.097457","0.875146","0.202185","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}","regression_xgboost_seed-42_size-0.016756.txt"
"TYK2","xgboost","42","0.08378","0.958326","0.746076","0.391651","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","regression_xgboost_seed-42_size-0.08378.txt"
